110,219,0
99.85763,212.4527,0
90.181,204.662,0
81.0459,195.8543,0
72.52801,186.256,0
64.70314,176.0938,0
57.64701,165.594,0
51.43538,154.9832,0
46.14401,144.488,0
41.84864,134.3347,0
38.62501,124.75,0
36.54889,115.9603,0
35.69601,108.192,0
36.14214,101.6718,0
37.96301,96.62601,0
41.23439,93.28125,0
46.03201,91.864,0
52.43164,92.60075,0
60.509,95.71799,0
70.33988,101.4423,0
82.00001,110,0
82.00001,110,0
94.71551,119.6126,0
107.584,128.341,0
120.4885,136.1709,0
133.312,143.088,0
145.9375,149.0781,0
158.248,154.127,0
170.1265,158.2204,0
181.456,161.344,0
192.1195,163.4836,0
202,164.625,0
210.9805,164.7539,0
218.944,163.856,0
225.7735,161.9171,0
231.352,158.923,0
235.5625,154.8594,0
238.288,149.712,0
239.4115,143.4666,0
238.816,136.109,0
236.3845,127.6249,0
232,118,0

